student_file,student_name,understanding_of_the_changing_human_computer_relationship,use_of_story_evidence_specific_details,clarity_and_focus_of_writing,total_score
01-paige-turner.docx,Paige Turner,2,2,2,6
02-cliff-hanger.docx,Cliff Hanger,2,2,2,6
03-anita-paperclip.docx,Anita Paperclip,2,2,2,6
04-ella-vator.docx,Ella Vator,2,1,2,5
05-justin-thyme.docx,Justin Thyme,2,1,2,5
06-bea-positive.docx,Bea Positive,2,1,2,5
07-chip-munk.docx,Chip Munk,1,1,2,4
08-holly-wood.docx,Holly Wood,2,1,2,5
09-brock-lee.docx,Brock Lee,1,1,1,3
10-sue-flay.docx,Sue Flay,0,1,1,2
